seed,gamma,sigma_epsilon,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,M_max_used,timestamp
3,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-04,sequential,737730,True,1.0882169114e-05,14,4535,2026-05-04T07:12:19.536362
3,0.0000000000e+00,0.0000000000e+00,1,3,1.1242100351e-04,sequential,737730,True,1.0882169114e-05,14,4034,2026-05-04T07:12:19.536585
3,0.0000000000e+00,0.0000000000e+00,1,3,1.2638482029e-04,sequential,737730,True,1.0882169114e-05,14,3588,2026-05-04T07:12:19.536719
3,0.0000000000e+00,0.0000000000e+00,1,3,1.4208308325e-04,sequential,737730,False,1.0940495283e-02,14,3192,2026-05-04T07:12:19.536847
3,0.0000000000e+00,0.0000000000e+00,1,3,1.5973122801e-04,sequential,737730,True,1.0882169114e-05,14,2839,2026-05-04T07:12:19.536974
3,0.0000000000e+00,0.0000000000e+00,1,3,1.7957144944e-04,sequential,737730,False,1.0940495283e-02,14,2526,2026-05-04T07:12:19.537100
3,0.0000000000e+00,0.0000000000e+00,1,3,2.0187602547e-04,sequential,369000,False,1.1036369082e-02,13,2247,2026-05-04T07:12:19.537217
3,0.0000000000e+00,0.0000000000e+00,1,3,2.2695105367e-04,sequential,369000,True,8.4991630129e-05,13,1999,2026-05-04T07:12:19.537333
3,0.0000000000e+00,0.0000000000e+00,1,3,2.5514065200e-04,sequential,369000,True,8.4991630129e-05,13,1778,2026-05-04T07:12:19.537466
3,0.0000000000e+00,0.0000000000e+00,1,3,2.8683168133e-04,sequential,369000,True,8.4991630129e-05,13,1581,2026-05-04T07:12:19.537585
3,0.0000000000e+00,0.0000000000e+00,1,3,3.2245905453e-04,sequential,369000,False,1.1036369082e-02,13,1407,2026-05-04T07:12:19.537701
3,0.0000000000e+00,0.0000000000e+00,1,3,3.6251170500e-04,sequential,369000,True,8.4991630129e-05,13,1251,2026-05-04T07:12:19.537818
3,0.0000000000e+00,0.0000000000e+00,1,3,4.0753929659e-04,sequential,184590,False,1.1228116681e-02,12,1113,2026-05-04T07:12:19.537926
3,0.0000000000e+00,0.0000000000e+00,1,3,4.5815976691e-04,sequential,184590,True,4.9025116533e-04,12,990,2026-05-04T07:12:19.538034
3,0.0000000000e+00,0.0000000000e+00,1,3,5.1506780762e-04,sequential,184590,True,2.7673922861e-04,12,881,2026-05-04T07:12:19.538142
3,0.0000000000e+00,0.0000000000e+00,1,3,5.7904439806e-04,sequential,184590,True,2.7673922861e-04,12,784,2026-05-04T07:12:19.538250
3,0.0000000000e+00,0.0000000000e+00,1,3,6.5096752305e-04,sequential,184590,True,2.7673922861e-04,12,697,2026-05-04T07:12:19.538358
3,0.0000000000e+00,0.0000000000e+00,1,3,7.3182422191e-04,sequential,184590,False,1.1228116681e-02,12,620,2026-05-04T07:12:19.538469
