seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
5,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,error_detected,328479915,False,2.0945441723e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:56:26.864499
5,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,error_detected,293780133,False,2.5414118767e+00,49920,80,9.9840000000e-01,0,0.0000000000e+00,2026-04-29T19:56:40.562583
5,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,error_detected,261472704,False,2.0945441723e+00,49919,81,9.9838000000e-01,0,0.0000000000e+00,2026-04-29T19:56:54.204951
5,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,error_detected,232991907,False,2.5414118767e+00,49901,99,9.9802000000e-01,0,0.0000000000e+00,2026-04-29T19:57:07.932245
5,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,error_detected,1744596,True,1.0907649994e-05,400,1,9.9750623441e-01,0,0.0000000000e+00,2026-04-29T19:57:08.123498
5,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,error_detected,184094820,False,2.0945441723e+00,49906,94,9.9812000000e-01,0,0.0000000000e+00,2026-04-29T19:57:21.531244
5,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,error_detected,638856,True,1.0907649994e-05,200,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:57:21.621937
5,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,error_detected,145697781,False,2.5414118767e+00,49909,91,9.9818000000e-01,0,0.0000000000e+00,2026-04-29T19:57:34.748349
5,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,error_detected,129089718,False,2.0945441723e+00,49908,92,9.9816000000e-01,0,0.0000000000e+00,2026-04-29T19:57:48.352731
5,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,error_detected,208704,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:57:48.405909
5,1.0000000000e-02,0.0000000000e+00,1,3,7.3182422191e-04,error_detected,102584670,False,2.0945441723e+00,49927,73,9.9854000000e-01,0,0.0000000000e+00,2026-04-29T19:58:01.148357
5,1.0000000000e-02,0.0000000000e+00,1,3,8.2272413417e-04,error_detected,91124922,False,2.5414118767e+00,49928,72,9.9856000000e-01,0,0.0000000000e+00,2026-04-29T19:58:14.492288
5,1.0000000000e-02,0.0000000000e+00,1,3,9.2491472772e-04,error_detected,1362255,True,1.0907649994e-05,800,2,9.9750623441e-01,0,0.0000000000e+00,2026-04-29T19:58:14.821461
5,1.0000000000e-02,0.0000000000e+00,1,3,1.0397984185e-03,error_detected,438486,True,3.7044286728e-05,300,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:14.961377
5,1.0000000000e-02,0.0000000000e+00,1,3,1.1689518165e-03,error_detected,532809,True,1.0907649994e-05,400,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:15.135074
5,1.0000000000e-02,0.0000000000e+00,1,3,1.3141473626e-03,error_detected,6263262,True,1.0907649994e-05,5500,6,9.9891027969e-01,0,0.0000000000e+00,2026-04-29T19:58:16.732436
5,1.0000000000e-02,0.0000000000e+00,1,3,1.4773776526e-03,error_detected,205713,True,5.8829784393e-05,200,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:16.829089
